origin,type,censored
https://pypi.org/project/ansible/,pypi,1
https://pypi.org/project/httplib2/,pypi,1
deb://Debian/packages/rapid-photo-downloader,deb,1
deb://Debian/packages/congruity,deb,0
https://pypi.org/project/requests-toolbelt/,pypi,0
deb://Debian/packages/meson,deb,1
https://pypi.org/project/cattrs/,pypi,1
deb://Debian/packages/python-xstatic-font-awesome,deb,0
https://pypi.org/project/rfc3986/,pypi,1
https://github.com/taki0112/Tensorflow-Cookbook,git,1
https://pypi.org/project/mlflow/,pypi,1
https://pypi.org/project/datadog/,pypi,1
https://pypi.org/project/more-itertools/,pypi,1
https://pypi.org/project/azure-keyvault/,pypi,1
deb://Debian/packages/tryton-modules-stock-supply,deb,1
https://pypi.org/project/cfgv/,pypi,1
https://pypi.org/project/google-pasta/,pypi,1
deb://Debian/packages/pybtex,deb,1
https://pypi.org/project/motor/,pypi,1
deb://Debian/packages/python-barbicanclient,deb,1
https://pypi.org/project/pyrsistent/,pypi,1
https://pypi.org/project/rsa/,pypi,1
deb://Debian/packages/python-xstatic-bootswatch,deb,0
https://pypi.org/project/tblib/,pypi,1
https://pypi.org/project/google-cloud-pubsub/,pypi,1
https://pypi.org/project/ntlm-auth/,pypi,1
https://pypi.org/project/websockets/,pypi,0
deb://Debian/packages/rss2email,deb,1
https://pypi.org/project/future/,pypi,0
https://github.com/matplotlib/cheatsheets,git,1
deb://Debian/packages/python-launchpadlib,deb,1
https://github.com/p-e-w/maybe,git,0
deb://Debian/packages/ariba,deb,1
https://pypi.org/project/blessed/,pypi,1
deb://Debian/packages/python-misaka,deb,0
deb://Debian/packages/soundconverter,deb,1
deb://Debian/packages/pypy,deb,1
deb://Debian/packages/python-congressclient,deb,1
https://github.com/zihangdai/xlnet,git,0
https://pypi.org/project/pydata-google-auth/,pypi,1
https://pypi.org/project/html2text/,pypi,1
https://pypi.org/project/azure-mgmt-storage/,pypi,1
https://pypi.org/project/geopy/,pypi,1
deb://Debian/packages/lintian-brush,deb,1
deb://Debian/packages/quodlibet,deb,1
deb://Debian/packages/python-tooz,deb,1
deb://Debian/packages/python-mox3,deb,1
https://pypi.org/project/python-editor/,pypi,0
https://pypi.org/project/azure-mgmt-containerservice/,pypi,1
deb://Debian/packages/python-xattr,deb,1
https://pypi.org/project/google-auth-oauthlib/,pypi,0
deb://Debian/packages/gnome-sudoku,deb,1
deb://Debian/packages/python-openstacksdk,deb,1
https://gitlab.com/aurelien-lourot/importdir.git,git,0
https://pypi.org/project/azure-mgmt-cdn/,pypi,1
https://pypi.org/project/cloudpickle/,pypi,1
https://pypi.org/project/DateTime/,pypi,0
https://pypi.org/project/applicationinsights/,pypi,0
https://pypi.org/project/python3-openid/,pypi,1
deb://Debian/packages/tryton-modules-purchase-invoice-line-standalone,deb,1
https://pypi.org/project/astunparse/,pypi,0
https://pypi.org/project/xlwt/,pypi,0
https://pypi.org/project/sarif-om/,pypi,0
deb://Debian/packages/tryton-modules-account-be,deb,1
deb://Debian/packages/python-autobahn,deb,0
deb://Debian/packages/discus,deb,1
deb://Debian/packages/tryton-modules-party,deb,1
deb://Debian/packages/streamtuner2,deb,0
deb://Debian/packages/apt-listchanges,deb,1
deb://Debian/packages/python-json-pointer,deb,1
https://gitlab.com/pycqa/mccabe-console-script.git,git,0
deb://Debian/packages/d-feet,deb,1
https://pypi.org/project/distro/,pypi,1
deb://Debian/packages/python-doc8,deb,0
https://pypi.org/project/s3cmd/,pypi,1
deb://Debian/packages/pymacs,deb,1
https://pypi.org/project/retry/,pypi,0
https://pypi.org/project/lunardate/,pypi,0
https://pypi.org/project/greenlet/,pypi,0
deb://Debian/packages/python-nmap,deb,0
deb://Debian/packages/python-xvfbwrapper,deb,0
https://pypi.org/project/PyWavelets/,pypi,0
deb://Debian/packages/wiki2beamer,deb,1
https://gitlab.com/danvj/mygenes.git,git,0
https://pypi.org/project/Flask-Admin/,pypi,1
deb://Debian/packages/python-oslo.i18n,deb,1
deb://Debian/packages/renpy,deb,0
https://pypi.org/project/s3transfer/,pypi,1
https://github.com/vishnubob/wait-for-it,git,0
deb://Debian/packages/svn-load,deb,0
deb://Debian/packages/python-testscenarios,deb,0
deb://Debian/packages/ganeti-instance-debootstrap,deb,0
https://pypi.org/project/pathlib2/,pypi,0
https://pypi.org/project/jschema-to-python/,pypi,0
https://pypi.org/project/terminado/,pypi,1
deb://Debian/packages/python-pykmip,deb,1
deb://Debian/packages/ardentryst,deb,1
https://pypi.org/project/azure-servicemanagement-legacy/,pypi,1
https://pypi.org/project/emoji/,pypi,0
https://pypi.org/project/pytest-asyncio/,pypi,1
https://pypi.org/project/geomet/,pypi,1
deb://Debian/packages/tryton-modules-production-routing,deb,1
https://pypi.org/project/junit-xml/,pypi,0
https://pypi.org/project/cligj/,pypi,0
https://pypi.org/project/google-cloud-monitoring/,pypi,1
https://pypi.org/project/kazoo/,pypi,1
deb://Debian/packages/herculesstudio,deb,1
deb://Debian/packages/python-dib-utils,deb,0
https://pypi.org/project/azure-mgmt-datamigration/,pypi,1
deb://Debian/packages/monsterz,deb,1
deb://Debian/packages/dtrx,deb,1
deb://Debian/packages/debtags,deb,0
deb://Debian/packages/python-magic,deb,1
https://pypi.org/project/querystring-parser/,pypi,0
https://pypi.org/project/backcall/,pypi,1
deb://Debian/packages/python-hplefthandclient,deb,0
deb://Debian/packages/python-django-pyscss,deb,0
deb://Debian/packages/tryton-modules-project-plan,deb,1
